RunID,RowType,PlayerID,UnknownSelectMode,TargetUpdateMode,StepIndex,Frame,NodeName,NodePosX,NodePosY,NodePosZ,CellX,CellZ,NodesCreated,ShortestPathLen,TimeToGoal,TotalNodeVisits,TotalProcessMs,AvgProcessMs,MaxProcessMs
8,VISIT,123,MostUnknown,EveryNode,0,263,Node_1175,-10,0,-5,-10,-5,,,,,,,
8,VISIT,123,MostUnknown,EveryNode,1,517,Node_1175,-10,0,-5,-10,-5,,,,,,,
8,VISIT,123,MostUnknown,EveryNode,2,643,Node_1176,-10,0,-1,-10,-1,,,,,,,
8,VISIT,123,MostUnknown,EveryNode,3,828,Node_1176,-10,0,-1,-10,-1,,,,,,,
8,VISIT,124,MostUnknown,EveryNode,0,871,Node_1176,-10,0,-1,-10,-1,,,,,,,
8,VISIT,123,MostUnknown,EveryNode,4,953,Node_1176,-10,0,-1,-10,-1,,,,,,,
8,VISIT,124,MostUnknown,EveryNode,1,965,Node_1178,-10,0,2,-10,2,,,,,,,
8,VISIT,123,MostUnknown,EveryNode,5,1042,Node_1178,-10,0,2,-10,2,,,,,,,
8,VISIT,124,MostUnknown,EveryNode,2,1086,Node_1178,-10,0,2,-10,2,,,,,,,
8,VISIT,124,MostUnknown,EveryNode,3,1178,Node_1176,-10,0,-1,-10,-1,,,,,,,
8,VISIT,123,MostUnknown,EveryNode,6,1224,Node_1178,-10,0,2,-10,2,,,,,,,
8,VISIT,124,MostUnknown,EveryNode,4,1238,Node_1179,-8,0,-1,-8,-1,,,,,,,
8,VISIT,124,MostUnknown,EveryNode,5,1298,Node_1179,-8,0,-1,-8,-1,,,,,,,
8,VISIT,123,MostUnknown,EveryNode,7,1314,Node_1181,-7,0,2,-7,2,,,,,,,
8,VISIT,124,MostUnknown,EveryNode,6,1328,Node_1182,-8,0,-2,-8,-2,,,,,,,
8,VISIT,124,MostUnknown,EveryNode,7,1385,Node_1182,-8,0,-2,-8,-2,,,,,,,
