RunID,RowType,PlayerID,UnknownSelectMode,TargetUpdateMode,StepIndex,Frame,NodeName,NodePosX,NodePosY,NodePosZ,CellX,CellZ,NodesCreated,ShortestPathLen,TimeToGoal,TotalNodeVisits,TotalProcessMs,AvgProcessMs,MaxProcessMs
1,VISIT,6,Random,OnArrival,0,1260,Node_10,-10,0,-5,-10,-5,,,,,,,
1,VISIT,7,Random,OnArrival,0,2112,Node_11,-10,0,-1,-10,-1,,,,,,,
1,VISIT,6,Random,OnArrival,1,2638,Node_10,-10,0,-5,-10,-5,,,,,,,
1,VISIT,7,Random,OnArrival,1,2876,Node_10,-10,0,-5,-10,-5,,,,,,,
1,VISIT,6,Random,OnArrival,2,3341,Node_11,-10,0,-1,-10,-1,,,,,,,
1,VISIT,7,Random,OnArrival,2,3519,Node_12,-6,0,-5,-6,-5,,,,,,,
1,VISIT,8,Random,OnArrival,0,3716,Node_11,-10,0,-1,-10,-1,,,,,,,
1,VISIT,7,Random,OnArrival,3,4163,Node_12,-6,0,-5,-6,-5,,,,,,,
1,VISIT,6,Random,OnArrival,3,4286,Node_11,-10,0,-1,-10,-1,,,,,,,
1,VISIT,8,Random,OnArrival,1,4369,Node_10,-10,0,-5,-10,-5,,,,,,,
1,VISIT,7,Random,OnArrival,4,4887,Node_10,-10,0,-5,-10,-5,,,,,,,
1,VISIT,6,Random,OnArrival,4,5044,Node_11,-10,0,-1,-10,-1,,,,,,,
1,VISIT,8,Random,OnArrival,2,5126,Node_12,-6,0,-5,-6,-5,,,,,,,
1,VISIT,9,Random,OnArrival,0,5358,Node_11,-10,0,-1,-10,-1,,,,,,,
1,VISIT,7,Random,OnArrival,5,5643,Node_11,-10,0,-1,-10,-1,,,,,,,
1,VISIT,6,Random,OnArrival,5,5810,Node_10,-10,0,-5,-10,-5,,,,,,,
1,VISIT,8,Random,OnArrival,3,5903,Node_10,-10,0,-5,-10,-5,,,,,,,
1,VISIT,9,Random,OnArrival,1,6155,Node_10,-10,0,-5,-10,-5,,,,,,,
1,VISIT,7,Random,OnArrival,6,6243,Node_13,-10,0,2,-10,2,,,,,,,
1,VISIT,6,Random,OnArrival,6,6604,Node_12,-6,0,-5,-6,-5,,,,,,,
1,VISIT,8,Random,OnArrival,4,6693,Node_11,-10,0,-1,-10,-1,,,,,,,
1,VISIT,9,Random,OnArrival,2,6936,Node_12,-6,0,-5,-6,-5,,,,,,,
1,VISIT,6,Random,OnArrival,7,6991,Node_14,-6,0,-3,-6,-3,,,,,,,
1,VISIT,7,Random,OnArrival,7,7022,Node_13,-10,0,2,-10,2,,,,,,,
1,VISIT,10,Random,OnArrival,0,7184,Node_11,-10,0,-1,-10,-1,,,,,,,
1,VISIT,8,Random,OnArrival,5,7267,Node_13,-10,0,2,-10,2,,,,,,,
1,VISIT,9,Random,OnArrival,3,7314,Node_14,-6,0,-3,-6,-3,,,,,,,
1,VISIT,6,Random,OnArrival,8,7356,Node_14,-6,0,-3,-6,-3,,,,,,,
1,VISIT,7,Random,OnArrival,8,7566,Node_9,-7,0,2,-7,2,,,,,,,
1,SUMMARY,,Unknown,None,,,,,,,,,9,-1,14.047,0,0,0.000,0.000
