RunIndex,NodeName,PosX,PosZ,DistanceFromStart,DistanceFromGoal,UnknownCount,WallCount,LinkCount,PassCount,IsDeadEnd,IsBranch
0,Node_607,39,1,0,0,2,1,1,0,1,0
0,Node_606,39,0,31,0,1,1,2,0,0,0
0,Node_605,24,-5,25,0,0,3,1,0,1,0
0,Node_604,38,-5,35,0,1,1,2,0,0,0
0,Node_603,38,-4,34,0,0,1,3,2,0,1
0,Node_602,38,-3,33,0,0,1,3,2,0,1
0,Node_601,38,-2,32,0,1,0,3,2,0,1
0,Node_600,38,-1,31,0,2,0,2,0,0,0
0,Node_599,38,0,30,0,0,0,4,6,0,1
0,Node_598,38,1,29,0,2,0,2,0,0,0
0,Node_597,38,2,28,0,2,0,2,0,0,0
0,Node_596,38,3,27,0,1,1,2,0,0,0
0,Node_595,37,2,27,0,1,1,2,0,0,0
0,Node_594,37,1,28,0,1,1,2,0,0,0
0,Node_593,37,0,29,0,0,0,4,6,0,1
0,Node_592,37,-1,30,0,1,1,2,0,0,0
0,Node_591,37,-2,31,0,0,1,3,2,0,1
0,Node_590,37,-3,32,0,0,1,3,2,0,1
0,Node_589,37,-4,33,0,0,0,4,4,0,1
0,Node_588,37,-5,34,0,0,1,3,2,0,1
0,Node_587,36,-5,33,0,0,1,3,6,0,1
0,Node_586,36,-4,32,0,0,1,3,2,0,1
0,Node_585,35,-4,31,0,0,1,3,6,0,1
0,Node_584,35,-5,32,0,0,1,3,6,0,1
0,Node_583,35,-1,28,0,0,2,2,0,0,0
0,Node_582,35,0,27,0,0,1,3,6,0,1
0,Node_581,12,3,17,0,2,1,1,0,1,0
0,Node_580,12,2,16,0,1,1,2,0,0,0
0,Node_579,13,2,15,0,1,1,2,0,0,0
0,Node_578,32,0,26,0,0,1,3,4,0,1
0,Node_577,13,3,14,0,1,1,2,0,0,0
0,Node_576,32,1,25,0,0,1,3,2,0,1
0,Node_575,31,1,26,0,0,2,2,0,0,0
0,Node_574,14,2,14,0,2,0,2,0,0,0
0,Node_573,31,0,25,0,0,1,3,2,0,1
0,Node_572,14,1,15,0,1,1,2,0,0,0
0,Node_571,31,-1,24,0,0,1,3,4,0,1
0,Node_570,14,0,16,0,2,0,2,0,0,0
0,Node_569,31,-2,25,0,0,1,3,4,0,1
0,Node_568,14,-1,17,0,1,1,2,0,0,0
0,Node_567,14,-2,18,0,1,1,2,0,0,0
0,Node_566,20,2,12,0,0,2,2,2,0,0
0,Node_565,38,11,41,0,1,2,1,0,1,0
0,Node_564,38,12,40,0,1,1,2,0,0,0
0,Node_563,38,13,39,0,2,0,2,0,0,0
0,Node_562,38,14,38,0,1,1,2,0,0,0
0,Node_561,37,14,37,0,0,2,2,0,0,0
0,Node_560,37,13,36,0,2,0,2,0,0,0
0,Node_559,37,12,35,0,1,1,2,0,0,0
0,Node_558,37,11,34,0,1,1,2,0,0,0
0,Node_557,37,10,33,0,1,1,2,0,0,0
0,Node_556,37,9,32,0,1,1,2,0,0,0
0,Node_555,37,8,31,0,1,1,2,0,0,0
0,Node_554,37,7,30,0,1,1,2,0,0,0
0,Node_553,37,6,29,0,1,1,2,0,0,0
0,Node_552,31,-3,26,0,0,2,2,4,0,0
0,Node_551,37,5,28,0,1,1,2,0,0,0
0,Node_550,37,4,27,0,1,1,2,0,0,0
