RunIndex,StepsWalked,UniqueNodesVisited,DeadEndEnterCount,FrameToGoal
0,35,28,0,98785
1,35,28,0,98785
2,35,29,0,98785
3,35,28,0,114900
4,35,28,0,114900
5,35,29,0,114900
6,35,28,0,130502
7,35,28,0,130502
8,35,29,0,130502
9,35,28,0,146403
10,35,28,0,146403
11,35,29,0,146403
12,35,28,0,161945
13,35,28,0,161945
14,35,29,0,161945
15,35,28,0,177945
16,35,28,0,177945
17,35,29,0,177945
18,35,28,0,194038
19,35,28,0,194038
20,35,29,0,194038
21,35,28,0,210219
22,35,28,0,210219
23,35,29,0,210219
24,35,28,0,226340
25,35,28,0,226340
26,35,29,0,226340
27,35,28,0,242553
28,35,28,0,242553
29,35,29,0,242553
30,35,28,0,258605
31,35,28,0,258605
32,35,29,0,258605
33,35,28,0,274559
34,35,28,0,274559
35,35,29,0,274559
36,35,28,0,290456
37,35,28,0,290456
38,35,29,0,290456
39,35,28,0,306795
40,35,28,0,306795
41,35,29,0,306795
42,35,28,0,323100
43,35,28,0,323100
44,35,29,0,323100
45,35,28,0,339421
46,35,28,0,339421
47,35,29,0,339421
48,35,28,0,355678
49,35,28,0,355678
50,35,29,0,355678
51,35,28,0,372097
52,35,28,0,372097
53,35,29,0,372097
54,35,28,0,388674
55,35,28,0,388674
56,35,29,0,388674
57,35,28,0,405120
58,35,28,0,405120
59,35,29,0,405120
60,35,28,0,421615
61,35,28,0,421615
62,35,29,0,421615
63,35,28,0,438094
64,35,28,0,438094
65,35,29,0,438094
66,35,28,0,454700
67,35,28,0,454700
68,35,29,0,454700
69,35,28,0,471176
70,35,28,0,471176
71,35,29,0,471176
72,35,28,0,487728
73,35,28,0,487728
74,35,29,0,487728
75,35,28,0,504110
76,35,28,0,504110
77,35,29,0,504110
78,35,28,0,520620
79,35,28,0,520620
80,35,29,0,520620
81,35,28,0,537249
82,35,28,0,537249
83,35,29,0,537249
84,35,28,0,553652
85,35,28,0,553652
86,35,29,0,553652
87,35,28,0,570086
88,35,28,0,570086
89,35,29,0,570086
90,35,28,0,586509
91,35,28,0,586509
92,35,29,0,586509
93,35,28,0,602904
94,35,28,0,602904
95,35,29,0,602904
96,35,28,0,619293
97,35,28,0,619293
98,35,29,0,619293
99,35,28,0,635835
100,35,28,0,635835
101,35,29,0,635835
102,35,28,0,652375
103,35,28,0,652375
104,35,29,0,652375
105,35,28,0,668811
106,35,28,0,668811
107,35,29,0,668811
108,35,28,0,685377
109,35,28,0,685377
110,35,29,0,685377
111,35,28,0,701935
112,35,28,0,701935
113,35,29,0,701935
114,35,28,0,718417
115,35,28,0,718417
116,35,29,0,718417
117,35,28,0,734403
118,35,28,0,734403
119,35,29,0,734403
120,35,28,0,750734
121,35,28,0,750734
122,35,29,0,750734
123,35,28,0,766943
124,35,28,0,766943
125,35,29,0,766943
126,35,28,0,783380
127,35,28,0,783380
128,35,29,0,783380
129,35,28,0,799773
130,35,28,0,799773
131,35,29,0,799773
132,35,28,0,816307
133,35,28,0,816307
134,35,29,0,816307
135,35,28,0,832711
136,35,28,0,832711
137,35,29,0,832711
