RunIndex,FrameToGoal,StepsWalked,TotalNodeCount,DeadEndNodeCount,BranchNodeCount,AvgPassCount,MaxPassCount,EndReason
0,98785,35,607,15,414,4,62,GoalReached
1,98785,35,607,15,414,4.003295,62,GoalReached
2,98785,35,607,15,414,4.00659,62,GoalReached
3,114900,35,607,15,414,4,62,GoalReached
4,114900,35,607,15,414,4.003295,62,GoalReached
5,114900,35,607,15,414,4.00659,62,GoalReached
6,130502,35,607,15,412,3.996705,62,GoalReached
7,130502,35,607,15,412,4,62,GoalReached
8,130502,35,607,15,412,4.003295,62,GoalReached
9,146403,35,607,15,414,4,62,GoalReached
10,146403,35,607,15,414,4.003295,62,GoalReached
11,146403,35,607,15,414,4.00659,62,GoalReached
12,161945,35,607,15,414,4,62,GoalReached
13,161945,35,607,15,414,4.003295,62,GoalReached
14,161945,35,607,15,414,4.00659,62,GoalReached
15,177945,35,607,15,414,4,62,GoalReached
16,177945,35,607,15,414,4.003295,62,GoalReached
17,177945,35,607,15,414,4.00659,62,GoalReached
18,194038,35,607,15,414,4,62,GoalReached
19,194038,35,607,15,414,4.003295,62,GoalReached
20,194038,35,607,15,414,4.00659,62,GoalReached
21,210219,35,607,15,414,4,62,GoalReached
22,210219,35,607,15,414,4.003295,62,GoalReached
23,210219,35,607,15,414,4.00659,62,GoalReached
24,226340,35,607,15,414,4,62,GoalReached
25,226340,35,607,15,414,4.003295,62,GoalReached
26,226340,35,607,15,414,4.00659,62,GoalReached
27,242553,35,607,15,414,4,62,GoalReached
28,242553,35,607,15,414,4.003295,62,GoalReached
29,242553,35,607,15,414,4.00659,62,GoalReached
30,258605,35,607,15,414,4,62,GoalReached
31,258605,35,607,15,414,4.003295,62,GoalReached
32,258605,35,607,15,414,4.00659,62,GoalReached
33,274559,35,607,15,414,3.996705,62,GoalReached
34,274559,35,607,15,414,4,62,GoalReached
35,274559,35,607,15,414,4.003295,62,GoalReached
36,290456,35,607,15,414,4,62,GoalReached
37,290456,35,607,15,414,4.003295,62,GoalReached
38,290456,35,607,15,414,4.00659,62,GoalReached
39,306795,35,607,15,414,4,62,GoalReached
40,306795,35,607,15,414,4.003295,62,GoalReached
41,306795,35,607,15,414,4.00659,62,GoalReached
42,323100,35,607,15,414,4,62,GoalReached
43,323100,35,607,15,414,4.003295,62,GoalReached
44,323100,35,607,15,414,4.00659,62,GoalReached
45,339421,35,607,15,414,4,62,GoalReached
46,339421,35,607,15,414,4.003295,62,GoalReached
47,339421,35,607,15,414,4.00659,62,GoalReached
48,355678,35,607,15,412,4,62,GoalReached
49,355678,35,607,15,412,4.003295,62,GoalReached
50,355678,35,607,15,412,4.00659,62,GoalReached
51,372097,35,607,15,414,4,62,GoalReached
52,372097,35,607,15,414,4.003295,62,GoalReached
53,372097,35,607,15,414,4.00659,62,GoalReached
54,388674,35,607,15,414,4,62,GoalReached
55,388674,35,607,15,414,4.003295,62,GoalReached
56,388674,35,607,15,414,4.00659,62,GoalReached
57,405120,35,607,15,414,4,62,GoalReached
58,405120,35,607,15,414,4.003295,62,GoalReached
59,405120,35,607,15,414,4.00659,62,GoalReached
60,421615,35,607,15,414,4,62,GoalReached
61,421615,35,607,15,414,4.003295,62,GoalReached
62,421615,35,607,15,414,4.00659,62,GoalReached
63,438094,35,607,15,414,4,62,GoalReached
64,438094,35,607,15,414,4.003295,62,GoalReached
65,438094,35,607,15,414,4.00659,62,GoalReached
66,454700,35,607,15,414,4,62,GoalReached
67,454700,35,607,15,414,4.003295,62,GoalReached
68,454700,35,607,15,414,4.00659,62,GoalReached
69,471176,35,607,15,414,4,62,GoalReached
70,471176,35,607,15,414,4.003295,62,GoalReached
71,471176,35,607,15,414,4.00659,62,GoalReached
72,487728,35,607,15,414,4,62,GoalReached
73,487728,35,607,15,414,4.003295,62,GoalReached
74,487728,35,607,15,414,4.00659,62,GoalReached
75,504110,35,607,15,414,4,62,GoalReached
76,504110,35,607,15,414,4.003295,62,GoalReached
77,504110,35,607,15,414,4.00659,62,GoalReached
78,520620,35,607,15,414,4,62,GoalReached
79,520620,35,607,15,414,4.003295,62,GoalReached
80,520620,35,607,15,414,4.00659,62,GoalReached
81,537249,35,607,15,414,4,62,GoalReached
82,537249,35,607,15,414,4.003295,62,GoalReached
83,537249,35,607,15,414,4.00659,62,GoalReached
84,553652,35,607,15,414,4,62,GoalReached
85,553652,35,607,15,414,4.003295,62,GoalReached
86,553652,35,607,15,414,4.00659,62,GoalReached
87,570086,35,607,15,414,4,62,GoalReached
88,570086,35,607,15,414,4.003295,62,GoalReached
89,570086,35,607,15,414,4.00659,62,GoalReached
90,586509,35,607,15,414,4,62,GoalReached
91,586509,35,607,15,414,4.003295,62,GoalReached
92,586509,35,607,15,414,4.00659,62,GoalReached
93,602904,35,607,15,414,4,62,GoalReached
94,602904,35,607,15,414,4.003295,62,GoalReached
95,602904,35,607,15,414,4.00659,62,GoalReached
96,619293,35,607,15,414,4,62,GoalReached
97,619293,35,607,15,414,4.003295,62,GoalReached
98,619293,35,607,15,414,4.00659,62,GoalReached
99,635835,35,607,15,414,4,62,GoalReached
100,635835,35,607,15,414,4.003295,62,GoalReached
101,635835,35,607,15,414,4.00659,62,GoalReached
102,652375,35,607,15,414,4,62,GoalReached
103,652375,35,607,15,414,4.003295,62,GoalReached
104,652375,35,607,15,414,4.00659,62,GoalReached
105,668811,35,607,15,414,4,62,GoalReached
106,668811,35,607,15,414,4.003295,62,GoalReached
107,668811,35,607,15,414,4.00659,62,GoalReached
108,685377,35,607,15,414,4,62,GoalReached
109,685377,35,607,15,414,4.003295,62,GoalReached
110,685377,35,607,15,414,4.00659,62,GoalReached
111,701935,35,607,15,414,4,62,GoalReached
112,701935,35,607,15,414,4.003295,62,GoalReached
113,701935,35,607,15,414,4.00659,62,GoalReached
114,718417,35,607,15,414,4,62,GoalReached
115,718417,35,607,15,414,4.003295,62,GoalReached
116,718417,35,607,15,414,4.00659,62,GoalReached
117,734403,35,607,15,414,4,62,GoalReached
118,734403,35,607,15,414,4.003295,62,GoalReached
119,734403,35,607,15,414,4.00659,62,GoalReached
120,750734,35,607,15,414,4,62,GoalReached
121,750734,35,607,15,414,4.003295,62,GoalReached
122,750734,35,607,15,414,4.00659,62,GoalReached
123,766943,35,607,15,414,4,62,GoalReached
124,766943,35,607,15,414,4.003295,62,GoalReached
125,766943,35,607,15,414,4.00659,62,GoalReached
126,783380,35,607,15,414,4,62,GoalReached
127,783380,35,607,15,414,4.003295,62,GoalReached
128,783380,35,607,15,414,4.00659,62,GoalReached
129,799773,35,607,15,414,4,62,GoalReached
130,799773,35,607,15,414,4.003295,62,GoalReached
131,799773,35,607,15,414,4.00659,62,GoalReached
132,816307,35,607,15,414,4,62,GoalReached
133,816307,35,607,15,414,4.003295,62,GoalReached
134,816307,35,607,15,414,4.00659,62,GoalReached
135,832711,35,607,15,414,4,62,GoalReached
136,832711,35,607,15,414,4.003295,62,GoalReached
