RunIndex,NodeName,PosX,PosZ,DistanceFromStart,DistanceFromGoal,UnknownCount,WallCount,LinkCount,PassCount,IsDeadEnd,IsBranch
0,Node_85,18,23,15,0,2,1,1,0,1,0
0,Node_84,18,22,14,0,1,1,2,0,0,0
0,Node_83,18,21,13,0,2,0,2,0,0,0
0,Node_82,18,20,12,0,1,1,2,0,0,0
0,Node_81,15,3,14,0,3,0,1,0,1,0
0,Node_80,18,19,11,0,1,1,2,0,0,0
0,Node_79,15,4,13,0,1,1,2,0,0,0
0,Node_78,18,18,10,0,2,0,2,0,0,0
0,Node_77,15,5,12,0,1,1,2,0,0,0
0,Node_76,18,17,9,0,1,1,2,0,0,0
0,Node_75,15,6,11,0,2,0,2,0,0,0
0,Node_74,18,16,8,0,1,1,2,0,0,0
0,Node_73,20,6,10,0,2,1,1,0,1,0
0,Node_72,15,7,10,0,2,0,2,0,0,0
0,Node_71,18,15,7,0,1,1,2,0,0,0
0,Node_70,15,8,9,0,0,2,2,0,0,0
0,Node_69,18,14,6,0,1,1,2,0,0,0
0,Node_68,16,8,8,0,1,1,2,0,0,0
0,Node_67,22,5,9,0,1,1,2,0,0,0
0,Node_66,16,7,7,0,2,0,2,0,0,0
0,Node_65,22,6,8,0,1,1,2,0,0,0
0,Node_64,17,7,6,0,0,2,2,0,0,0
0,Node_63,20,5,9,0,1,0,3,2,0,1
0,Node_62,22,7,7,0,1,1,2,0,0,0
0,Node_61,17,8,5,0,2,0,2,0,0,0
0,Node_60,20,4,10,0,2,0,2,0,0,0
0,Node_59,22,8,6,0,1,1,2,0,0,0
0,Node_58,20,3,11,0,2,0,2,0,0,0
0,Node_57,22,9,5,0,2,0,2,0,0,0
0,Node_56,21,3,10,0,0,2,2,0,0,0
0,Node_55,22,10,4,0,1,0,3,2,0,1
0,Node_54,21,4,9,0,1,1,2,0,0,0
0,Node_53,22,11,3,0,1,1,2,0,0,0
0,Node_52,21,5,8,0,0,0,4,2,0,1
0,Node_51,21,6,7,0,2,0,2,0,0,0
0,Node_50,21,7,6,0,1,1,2,0,0,0
0,Node_49,21,8,5,0,2,0,2,0,0,0
0,Node_48,20,9,3,0,2,0,2,2,0,0
0,Node_47,21,9,4,0,2,0,2,0,0,0
0,Node_46,20,8,4,0,1,1,2,0,0,0
0,Node_45,22,15,7,0,2,1,1,0,1,0
0,Node_44,20,15,5,0,0,2,2,0,0,0
0,Node_43,13,15,10,0,2,1,1,0,1,0
0,Node_42,20,14,4,0,1,0,3,2,0,1
0,Node_41,13,14,9,0,2,0,2,0,0,0
0,Node_40,20,13,3,0,0,1,3,4,0,1
0,Node_39,14,14,8,0,1,1,2,0,0,0
0,Node_38,20,12,2,0,0,0,4,8,0,1
0,Node_37,14,13,7,0,2,0,2,0,0,0
0,Node_36,20,11,1,0,0,0,4,6,0,1
0,Node_35,14,12,6,0,2,0,2,0,0,0
0,Node_34,21,20,11,0,2,1,1,0,1,0
0,Node_33,14,11,5,0,2,0,2,0,0,0
0,Node_32,21,19,10,0,2,0,2,0,0,0
0,Node_31,15,13,6,0,2,1,1,0,1,0
0,Node_30,21,18,9,0,1,1,2,0,0,0
0,Node_29,15,12,5,0,2,0,2,0,0,0
0,Node_28,15,11,4,0,0,0,4,2,0,1
0,Node_27,21,16,7,0,1,1,2,0,0,0
0,Node_26,15,10,5,0,1,1,2,0,0,0
0,Node_25,21,15,6,0,0,0,4,2,0,1
0,Node_24,16,10,4,0,0,1,3,2,0,1
0,Node_23,17,9,4,0,0,1,3,2,0,1
0,Node_22,21,14,5,0,1,1,2,0,0,0
0,Node_21,16,11,3,0,0,0,4,4,0,1
0,Node_20,19,10,1,0,0,0,4,2,0,1
0,Node_19,21,13,4,0,0,1,3,2,0,1
0,Node_18,16,12,4,0,1,1,2,0,0,0
0,Node_17,21,12,3,0,0,1,3,4,0,1
0,Node_16,17,12,3,0,0,1,3,2,0,1
0,Node_15,18,9,3,0,0,0,4,4,0,1
0,Node_14,18,11,1,0,0,0,4,4,0,1
0,Node_13,21,11,2,0,0,0,4,4,0,1
0,Node_12,17,11,2,0,0,0,4,6,0,1
0,Node_11,18,8,4,0,1,1,2,0,0,0
0,Node_10,18,12,2,0,0,1,3,2,0,1
0,Node_9,21,10,3,0,0,0,4,4,0,1
0,Node_8,17,10,3,0,0,0,4,8,0,1
0,Node_7,19,8,3,0,0,1,3,4,0,1
0,Node_6,19,12,1,0,0,1,3,6,0,1
