RunIndex,StepsWalked,UniqueNodesVisited,DeadEndEnterCount,FrameToGoal
0,22,9,1,7920
1,4,2,0,307
2,4,2,0,900
3,4,2,0,1467
4,4,2,0,310
5,4,2,0,756
6,4,2,0,1336
7,4,2,0,335
8,4,2,0,948
9,4,2,0,337
10,4,2,0,337
11,4,2,0,949
12,4,2,0,557
13,4,2,0,1568
14,4,2,0,482
15,4,2,0,469
16,4,2,0,1371
17,4,2,0,460
18,4,2,0,1385
19,30,5,2,5906
20,34,5,3,5841
21,30,5,2,11466
22,34,5,3,17697
23,14,4,1,5986
24,30,5,2,12036
25,30,5,2,4834
26,34,5,3,11053
27,34,5,3,5813
28,30,5,2,11392
29,30,5,2,6323
30,30,5,2,5395
31,14,4,1,11354
32,30,5,2,6126
33,34,5,3,14235
34,88,53,0,25803
35,7,2,0,521
36,7,2,0,1454
37,7,2,0,584
38,7,2,0,567
39,7,2,0,1599
40,7,2,0,546
41,7,2,0,563
42,7,2,0,463
43,7,2,0,1324
44,7,2,0,590
45,7,2,0,1647
46,7,2,0,548
47,7,2,0,576
48,7,2,0,1539
49,7,2,0,2559
50,7,2,0,3613
51,7,2,0,566
52,7,2,0,582
53,7,2,0,1611
54,12,3,0,1022
55,12,3,0,1082
56,12,3,0,1001
57,12,3,0,2372
58,47,25,0,59481
59,7,2,0,197
60,7,2,0,202
61,7,2,0,521
62,7,2,0,204
63,7,2,0,73
64,7,2,0,280
65,7,2,0,731
66,7,2,0,284
67,14,3,0,1201
68,14,3,0,2780
69,14,3,0,4405
70,63,41,3,25120
