RunID,NodesCreated,ShortestPathLen,TimeToGoal,TotalNodeVisits,TotalProcessMs,AvgProcessMs,MaxProcessMs
1,972,-1,7746.000,9524,0,0.000,0.000
1,741,-1,6473.000,4294,0,0.000,0.000
2,878,-1,13324.000,5716,0,0.000,0.000
3,587,-1,18957.000,3188,0,0.000,0.000
4,1009,-1,25890.000,11056,0,0.000,0.000
1,721,-1,6508.000,4590,0,0.000,0.000
2,846,-1,13311.000,6966,0,0.000,0.000
3,897,-1,20387.000,6502,0,0.000,0.000
1,920,-1,6708.000,6398,0,0.000,0.000
1,868,-1,6249.000,7710,0,0.000,0.000
1,830,-1,11784.000,8238,0,0.000,0.000
2,974,-1,24554.000,6870,0,0.000,0.000
1,956,-1,13601.000,10674,0,0.000,0.000
2,869,-1,26009.000,6766,0,0.000,0.000
3,664,-1,37320.000,3106,0,0.000,0.000
4,903,-1,50239.000,5436,0,0.000,0.000
5,791,-1,62757.000,5006,0,0.000,0.000
6,699,-1,74309.000,3460,0,0.000,0.000
7,965,-1,87343.000,7364,0,0.000,0.000
8,889,-1,100136.000,8180,0,0.000,0.000
9,990,-1,113233.000,9464,0,0.000,0.000
10,997,-1,126728.000,9754,0,0.000,0.000
