Timestamp,RunIndex,PlayerId,Frame,StepIndex,NodeName,CellX,CellY,PosX,PosZ,PassCount,UnknownCount,WallCount,LinkCount
20251217_221359.887,1,0,11,0,Node_2,19,11,19.000,11.000,1,0,0,0
20251217_221359.890,1,0,11,0,Node_3,19,9,19.000,9.000,1,0,0,0
20251217_221359.891,1,0,11,0,Node_4,18,10,18.000,10.000,1,0,0,0
20251217_221359.893,1,0,11,0,Node_5,20,10,20.000,10.000,1,0,0,0
20251217_221400.220,1,0,58,1,Node_6,19,12,19.000,12.000,1,0,0,1
20251217_221400.221,1,0,58,1,Node_7,19,10,19.000,10.000,1,0,0,1
20251217_221400.223,1,0,58,1,Node_8,18,11,18.000,11.000,1,0,0,1
20251217_221400.224,1,0,58,1,Node_9,20,11,20.000,11.000,1,0,0,1
20251217_221400.549,1,0,128,2,Node_10,18,12,18.000,12.000,1,0,0,1
20251217_221400.563,1,0,129,2,Node_2,19,11,19.000,11.000,2,3,0,2
20251217_221400.564,1,0,129,2,Node_10,18,12,18.000,12.000,2,2,1,2
20251217_221400.564,1,0,129,2,Node_11,20,12,20.000,12.000,1,0,0,1
20251217_221400.883,1,0,216,3,Node_8,18,11,18.000,11.000,2,2,0,2
20251217_221400.889,1,0,217,3,Node_8,18,11,18.000,11.000,3,2,0,3
20251217_221400.890,1,0,217,3,Node_12,17,12,17.000,12.000,1,0,0,1
20251217_221400.901,1,0,219,3,Node_13,20,13,20.000,13.000,1,0,0,1
20251217_221401.206,1,0,294,4,Node_14,17,11,17.000,11.000,1,0,0,1
20251217_221401.215,1,0,296,4,Node_14,17,11,17.000,11.000,2,3,0,2
20251217_221401.230,1,0,299,4,Node_14,17,11,17.000,11.000,3,2,0,2
20251217_221401.247,1,0,301,4,Node_15,20,14,20.000,14.000,1,0,0,1
20251217_221401.528,1,0,376,5,Node_12,17,12,17.000,12.000,2,1,1,2
20251217_221401.553,1,0,382,5,Node_16,17,10,17.000,10.000,1,0,0,1
20251217_221401.557,1,0,383,5,Node_16,17,10,17.000,10.000,2,3,0,1
20251217_221401.582,1,0,389,5,Node_17,20,15,20.000,15.000,1,0,0,1
20251217_221401.852,1,0,458,6,Node_18,16,12,16.000,12.000,1,0,0,1
20251217_221401.888,1,0,467,6,Node_19,17,9,17.000,9.000,1,0,0,1
20251217_221401.893,1,0,468,6,Node_19,17,9,17.000,9.000,2,2,1,1
20251217_221401.908,1,0,471,6,Node_20,21,15,21.000,15.000,1,0,0,1
20251217_221402.174,1,0,526,7,Node_21,16,11,16.000,11.000,1,0,0,1
20251217_221402.229,1,0,538,7,Node_22,17,8,17.000,8.000,1,0,0,1
20251217_221402.236,1,0,539,7,Node_22,17,8,17.000,8.000,2,3,0,1
20251217_221402.237,1,0,539,7,Node_23,21,16,21.000,16.000,1,0,0,1
20251217_221402.518,1,0,603,8,Node_24,16,10,16.000,10.000,1,0,0,1
20251217_221402.570,1,0,614,8,Node_25,17,7,17.000,7.000,1,0,0,1
20251217_221402.574,1,0,615,8,Node_25,17,7,17.000,7.000,2,1,2,1
20251217_221402.576,1,0,615,8,Node_26,21,17,21.000,17.000,1,0,0,1
20251217_221402.843,1,0,679,9,Node_27,15,10,15.000,10.000,1,0,0,1
20251217_221402.894,1,0,692,9,Node_28,16,7,16.000,7.000,1,0,0,1
20251217_221402.901,1,0,693,9,Node_28,16,7,16.000,7.000,2,3,0,1
20251217_221402.916,1,0,695,9,Node_29,21,18,21.000,18.000,1,0,0,1
20251217_221403.167,1,0,755,10,Node_30,15,11,15.000,11.000,1,0,0,1
20251217_221403.219,1,0,766,10,Node_31,16,8,16.000,8.000,1,0,0,1
20251217_221403.228,1,0,768,10,Node_31,16,8,16.000,8.000,2,2,1,1
20251217_221403.507,1,0,835,11,Node_33,15,12,15.000,12.000,1,0,0,1
20251217_221403.545,1,0,844,11,Node_34,15,8,15.000,8.000,1,0,0,1
20251217_221403.550,1,0,845,11,Node_34,15,8,15.000,8.000,2,1,2,1
20251217_221403.873,1,0,922,12,Node_36,15,7,15.000,7.000,1,0,0,1
20251217_221404.213,1,0,1007,13,Node_37,15,6,15.000,6.000,1,0,0,1
20251217_221404.553,1,0,1086,14,Node_38,15,5,15.000,5.000,1,0,0,1
20251217_221404.858,1,0,1157,0,Node_2,19,11,19.000,11.000,3,1,0,3
20251217_221404.859,1,0,1157,0,Node_3,19,9,19.000,9.000,2,3,0,1
20251217_221404.859,1,0,1157,0,Node_4,18,10,18.000,10.000,2,3,0,1
20251217_221404.860,1,0,1157,0,Node_5,20,10,20.000,10.000,2,3,0,1
20251217_221404.892,1,0,1163,15,Node_39,15,4,15.000,4.000,1,0,0,1
20251217_221405.184,1,0,1231,1,Node_9,20,11,20.000,11.000,2,2,0,3
20251217_221405.185,1,0,1231,1,Node_40,19,8,19.000,8.000,1,0,0,1
20251217_221405.185,1,0,1231,1,Node_41,18,9,18.000,9.000,1,0,0,1
20251217_221405.186,1,0,1231,1,Node_42,20,9,20.000,9.000,1,0,0,1
20251217_221405.232,1,0,1242,16,Node_43,15,3,15.000,3.000,1,0,0,1
