RunIndex,NodeName,CellX,CellY,PosX,PosZ,UnknownCount,WallCount,LinkCount,PassCount,IsDeadEnd,IsFrontier
1,Node_1,16,11,16.000,11.000,3,0,1,2,1,1
1,Node_2,19,11,19.000,11.000,0,0,4,3,0,0
1,Node_3,19,9,19.000,9.000,1,0,3,3,0,1
1,Node_4,18,10,18.000,10.000,2,0,2,3,0,1
1,Node_5,20,10,20.000,10.000,2,0,2,2,0,1
1,Node_6,19,12,19.000,12.000,1,1,2,1,0,1
1,Node_7,19,10,19.000,10.000,2,0,2,1,0,1
1,Node_8,18,11,18.000,11.000,0,0,4,2,0,0
1,Node_9,20,11,20.000,11.000,0,0,4,2,0,0
1,Node_10,18,12,18.000,12.000,0,1,3,2,0,0
1,Node_11,20,12,20.000,12.000,2,0,2,1,0,1
1,Node_12,17,12,17.000,12.000,1,1,2,2,0,1
1,Node_13,20,13,20.000,13.000,1,1,2,1,0,1
1,Node_14,17,11,17.000,11.000,1,0,3,3,0,1
1,Node_15,20,14,20.000,14.000,2,0,2,1,0,1
1,Node_16,17,10,17.000,10.000,1,0,3,4,0,1
1,Node_17,20,15,20.000,15.000,0,2,2,1,0,0
1,Node_18,17,9,17.000,9.000,0,1,3,4,0,0
1,Node_19,21,15,21.000,15.000,1,0,3,2,0,1
1,Node_20,17,8,17.000,8.000,0,0,4,4,0,0
1,Node_21,21,16,21.000,16.000,1,1,2,1,0,1
1,Node_22,17,7,17.000,7.000,0,2,2,3,0,0
1,Node_23,21,17,21.000,17.000,0,2,2,1,0,0
1,Node_24,16,7,16.000,7.000,1,0,3,4,0,1
1,Node_25,21,18,21.000,18.000,2,1,1,1,1,1
1,Node_26,16,8,16.000,8.000,0,1,3,3,0,0
1,Node_27,21,19,21.000,19.000,4,0,0,0,0,1
1,Node_28,15,8,15.000,8.000,0,2,2,2,0,0
1,Node_29,15,7,15.000,7.000,2,0,2,2,0,1
1,Node_30,15,6,15.000,6.000,2,0,2,2,0,1
1,Node_31,15,5,15.000,5.000,1,1,2,2,0,1
1,Node_32,15,4,15.000,4.000,1,1,2,2,0,1
1,Node_33,15,3,15.000,3.000,2,0,2,2,0,1
1,Node_34,15,2,15.000,2.000,2,0,2,2,0,1
1,Node_35,15,1,15.000,1.000,1,1,2,2,0,1
1,Node_36,15,0,15.000,0.000,1,1,2,1,0,1
1,Node_37,19,8,19.000,8.000,0,1,3,2,0,0
1,Node_38,18,9,18.000,9.000,0,0,4,3,0,0
1,Node_39,20,9,20.000,9.000,2,0,2,1,0,1
1,Node_40,15,-1,15.000,-1.000,1,1,2,1,0,1
1,Node_41,18,8,18.000,8.000,0,1,3,2,0,0
1,Node_42,15,-2,15.000,-2.000,2,0,2,1,0,1
1,Node_43,21,11,21.000,11.000,2,0,2,1,0,1
1,Node_44,20,8,20.000,8.000,1,1,2,1,0,1
1,Node_45,21,12,21.000,12.000,1,1,2,1,0,1
1,Node_46,15,-3,15.000,-3.000,1,1,2,1,0,1
1,Node_47,21,13,21.000,13.000,1,1,2,1,0,1
1,Node_48,15,-4,15.000,-4.000,1,1,2,1,0,1
1,Node_49,21,14,21.000,14.000,1,1,2,1,0,1
1,Node_50,15,-5,15.000,-5.000,1,1,2,1,0,1
1,Node_51,16,10,16.000,10.000,1,1,2,1,0,1
1,Node_52,16,6,16.000,6.000,2,1,1,1,1,1
1,Node_53,14,-5,14.000,-5.000,1,2,1,1,1,1
1,Node_1,16,11,16.000,11.000,3,0,1,2,1,1
1,Node_2,19,11,19.000,11.000,1,0,3,2,0,1
1,Node_3,19,9,19.000,9.000,3,0,1,1,1,1
1,Node_4,18,10,18.000,10.000,3,0,1,1,1,1
1,Node_5,20,10,20.000,10.000,3,0,1,1,1,1
1,Node_6,19,12,19.000,12.000,1,1,2,1,0,1
1,Node_7,19,10,19.000,10.000,2,0,2,1,0,1
1,Node_8,18,11,18.000,11.000,0,0,4,3,0,0
1,Node_9,20,11,20.000,11.000,2,0,2,1,0,1
1,Node_10,18,12,18.000,12.000,0,1,3,2,0,0
1,Node_11,20,12,20.000,12.000,2,0,2,1,0,1
1,Node_12,17,12,17.000,12.000,0,1,3,2,0,0
1,Node_13,20,13,20.000,13.000,1,1,2,1,0,1
1,Node_14,17,11,17.000,11.000,1,0,3,3,0,1
1,Node_15,20,14,20.000,14.000,2,0,2,1,0,1
1,Node_16,17,10,17.000,10.000,2,0,2,2,0,1
1,Node_17,20,15,20.000,15.000,0,2,2,1,0,0
1,Node_18,16,12,16.000,12.000,1,1,2,1,0,1
1,Node_19,17,9,17.000,9.000,2,1,1,2,1,1
1,Node_20,21,15,21.000,15.000,3,0,1,1,1,1
